Ahri	http://edge1.mobafire.com/images/champion/icon/ahri.png	Ahri
Akali	http://edge2.mobafire.com/images/champion/icon/akali.png	Akali
Alistar	http://edge1.mobafire.com/images/champion/icon/alistar.png	Alistar
Amumu	http://edge2.mobafire.com/images/champion/icon/amumu.png	Amumu
Anivia	http://edge2.mobafire.com/images/champion/icon/anivia.png	Anivia
Annie	http://edge2.mobafire.com/images/champion/icon/annie.png	Annie
Ashe	http://edge1.mobafire.com/images/champion/icon/ashe.png	Ashe
Blitzcrank	http://edge2.mobafire.com/images/champion/icon/blitzcrank.png	Blitzcrank
Brand	http://edge1.mobafire.com/images/champion/icon/brand.png	Brand
Caitlyn	http://edge2.mobafire.com/images/champion/icon/caitlyn.png	Caitlyn
Cassiopeia	http://edge1.mobafire.com/images/champion/icon/cassiopeia.png	Cassiopeia
Cho'Gath	http://edge1.mobafire.com/images/champion/icon/chogath.png	Chogath
Corki	http://edge2.mobafire.com/images/champion/icon/corki.png	Corki
Dr. Mundo	http://edge2.mobafire.com/images/champion/icon/dr-mundo.png	DrMundo
Evelynn	http://edge1.mobafire.com/images/champion/icon/evelynn.png	Evelynn
Ezreal	http://edge2.mobafire.com/images/champion/icon/ezreal.png	Ezreal
Fiddlesticks	http://edge1.mobafire.com/images/champion/icon/fiddlesticks.png	FiddleSticks
Fizz	http://edge2.mobafire.com/images/champion/icon/fizz.png	Fizz
Galio	http://edge2.mobafire.com/images/champion/icon/galio.png	Galio
Gangplank	http://edge1.mobafire.com/images/champion/icon/gangplank.png	Gangplank
Garen	http://edge1.mobafire.com/images/champion/icon/garen.png	Garen
Gragas	http://edge2.mobafire.com/images/champion/icon/gragas.png	Gragas
Graves	http://edge1.mobafire.com/images/champion/icon/graves.png	Graves
Heimerdinger	http://edge1.mobafire.com/images/champion/icon/heimerdinger.png	Heimerdinger
Irelia	http://edge1.mobafire.com/images/champion/icon/irelia.png	Irelia
Janna	http://edge2.mobafire.com/images/champion/icon/janna.png	Janna
Jarvan IV	http://edge2.mobafire.com/images/champion/icon/jarvan-iv.png	JarvanIV
Jax	http://edge1.mobafire.com/images/champion/icon/jax.png	Jax
Karma	http://edge1.mobafire.com/images/champion/icon/karma.png	Karma
Karthus	http://edge1.mobafire.com/images/champion/icon/karthus.png	Karthus
Kassadin	http://edge2.mobafire.com/images/champion/icon/kassadin.png	Kassadin
Katarina	http://edge2.mobafire.com/images/champion/icon/katarina.png	Katarina
Kayle	http://edge1.mobafire.com/images/champion/icon/kayle.png	Kayle
Kennen	http://edge1.mobafire.com/images/champion/icon/kennen.png	Kennen
Kog'Maw	http://edge1.mobafire.com/images/champion/icon/kogmaw.png	KogMaw
LeBlanc	http://edge2.mobafire.com/images/champion/icon/leblanc.png	Leblanc
Lee Sin	http://edge1.mobafire.com/images/champion/icon/lee-sin.png	LeeSin
Leona	http://edge1.mobafire.com/images/champion/icon/leona.png	Leona
Lux	http://edge2.mobafire.com/images/champion/icon/lux.png	Lux
Malphite	http://edge1.mobafire.com/images/champion/icon/malphite.png	Malphite
Malzahar	http://edge1.mobafire.com/images/champion/icon/malzahar.png	Malzahar
Maokai	http://edge1.mobafire.com/images/champion/icon/maokai.png	Maokai
Master Yi	http://edge1.mobafire.com/images/champion/icon/master-yi.png	MasterYi
Miss Fortune	http://edge1.mobafire.com/images/champion/icon/miss-fortune.png	MissFortune
Mordekaiser	http://edge1.mobafire.com/images/champion/icon/mordekaiser.png	Mordekaiser
Morgana	http://edge1.mobafire.com/images/champion/icon/morgana.png	Morgana
Nasus	http://edge1.mobafire.com/images/champion/icon/nasus.png	Nasus
Nidalee	http://edge1.mobafire.com/images/champion/icon/nidalee.png	Nidalee
Nocturne	http://edge1.mobafire.com/images/champion/icon/nocturne.png	Nocturne
Nunu	http://edge1.mobafire.com/images/champion/icon/nunu.png	Nunu
Olaf	http://edge2.mobafire.com/images/champion/icon/olaf.png	Olaf
Orianna	http://edge1.mobafire.com/images/champion/icon/orianna.png	Orianna
Pantheon	http://edge1.mobafire.com/images/champion/icon/pantheon.png	Pantheon
Poppy	http://edge2.mobafire.com/images/champion/icon/poppy.png	Poppy
Rammus	http://edge2.mobafire.com/images/champion/icon/rammus.png	Rammus
Renekton	http://edge1.mobafire.com/images/champion/icon/renekton.png	Renekton
Riven	http://edge2.mobafire.com/images/champion/icon/riven.png	Riven
Rumble	http://edge1.mobafire.com/images/champion/icon/rumble.png	Rumble
Ryze	http://edge1.mobafire.com/images/champion/icon/ryze.png	Ryze
Shaco	http://edge1.mobafire.com/images/champion/icon/shaco.png	Shaco
Shen	http://edge1.mobafire.com/images/champion/icon/shen.png	Shen
Shyvana	http://edge1.mobafire.com/images/champion/icon/shyvana.png	Shyvana
Singed	http://edge2.mobafire.com/images/champion/icon/singed.png	Singed
Sion	http://edge1.mobafire.com/images/champion/icon/sion.png	Sion
